Abend
Abendessen
Achso
Alt
Anstrengend
April
Arbeiten
Arzt/Ärztin
Aufstehen
Aufwachen
Aufwachsen
August
Auto
Basiskommunikation
Basketball
Basteln
BetreuerIn
Bier
Billig
Bis bald
Bis morgen
Bis später
Bitte
Blau
Blond
Bluse
Böse
Braun
Braunau
Bruder
Bub
Burgenland
Bus
Cola
Computer
Danke
Darf
Dezember
Dienstag
Diese
DolmetscherIn
Donnerstag
Dumm
Durst
Duschen
Eferding
Einfach
Eishockey
Eislaufen
Eltern
Enkelkinder
Entschuldigung
Fahrrad
Faul
Februar
Fisch
Fleissig
Formel 1
Frage
Frankfurter
Frau
Freistadt
Freitag
Freuen
Freunde
FriseurIn
Früher
Frühling
Frühstück
Fussball
Fussball
Garten
GärtnerIn
Gebärden
Geboren
Gehörlos
Gelb
Gerne
Geschieden
Geschwister
Gestern
Gmunden
Golf
Grau
Grauslich
Grieskirchen
Groß
Grosseltern
Grün
Gscheit
Gut
Gymnastik
Hamburger
Handschuhe
Handy
Hart
Hassen
Hässlich
Haube
Heiss
Herbst
Heuer
Heute
Hörend
Hübsch
Hundert
Hunger
Hut
Interessant
Jacke
Jänner
Jeans
Jetzt
Juli
Juni
Kaffee
Kalt
Kann
Karate
Kärnten
Karten spielen
Kennen
Kinder
Kirchdorf
Kleid
Klein
Klettern
Kommen aus
Köstlich
Kucen
Kuchen
Langsam
Laut
Leben
Ledig
Leggins
LehrerIn
Leicht
Lernen
Lesen
Letzte
Lieb
Lieblings
Linz
Linz-Land
Mädchen
Mai
Malen
Mann
Mantel
März
Milch
Million
Mineralwasser Wasser
Minute
Mit
Mittag
Mittagessen
Mittwoch
Möchte/Mag
Moment
Montag
Morgen
Müde
Musik hören
Muss
Mutter
Nach Hause
Nachmittag
Nächste
Nächstes Jahr
Nacht
Nass
Neu
Nicht
Niederösterreich
November
Oberösterreich
Ohne
Ok
Oktober
Oma
Opa
Oragensaft
Orange
Pantoffel
Passt
Pause
Perg
Pizza
PolizistIn
Pommes
Pulli
Pünktlich
Putzfrau/mann
Radfahren
Radio
Red Bull
Ried
Rock
Rohrbach
Rot
Salat
Salzburg
Samstag
Satt
Sauber
Schall
Schärding
ScheiderIn
Schlafen
Schlecht
Schmutzig
Schnell
Schön
Schuhe
Schwarz
Schwer
Schwerhörig
Schwester
Schwimmen
Sehr Gut
SekretärIn
Sekunde
Semmel
September
Skifahren
Skitouren
Socken
Sohn
Soll
Sommer
Sonntag
Spaghetti
Spazieren
Sport
Sportschuhe
St Pölten
Stau
Steiermark
Steyr
Steyr-Land
Stiefel
Strumpfhose
Stunde
T-Shirt
Tasche
Tausend
TechnikerIn
Tee
Tennis
Teuer
Tirol
TischlerIn
Tischtennis
Tochter
Torte
Trocken
Üben
Übermorgen
Unterhose
Urfahr
Urfahr-Umgebung
Vater
Vergessen
Verheiratet
Verheiratet
Verschlafen
Viel
Vöcklabruck
Volleyball
Vor Jahr
Vor Woche
Vorarlberg
Vorgestern
Vormittag
Wandern
Wann?
Warum?
Was?
WC
Weich
Wein
Weiß
Wels
Wels-Land
Wenig
Wer?
Wie lange?
Wie viel?
Wiederholen
Wien
Will
Winter
Wo?
Wohnen
zu spät
Zucker
Innsbruck
Bregenz
Klagenfurt
Graz
Eisenstadt
Sonne
Wolken
Nebel
Eisig
Regen
Hagel
Gewitter
Donner
Schnee
Wind
Regenbogen
Grad
Warm
Kühl
Kalt
Grad
Motorrad
Moped
Bus
Strassenbahn
Bahn
Schiff
Flugzeug
Strasse
Ampel
Fussgänger
Baum
Tunnel
Brücke
Bahnhof
Tankstelle
Bank
Krankenhaus
Kirche
Schule
Kaffeehaus
Polizei
Einkaufszentrum
Baum
Buch
Schere
Leuchtstift
Lineal
Farbstift
Taschenrechner
Mappe
Radiergummi
Bleistift
Tixo
Spitzer
Kleber
Zirkel
Kugelschreiber
Klammermaschine
Papier
Deutsch
Mathematik
Physik
Chemie
Biologie
Turnen
Englisch
Religion
Geschichte
Leihen
Beginn
Ende
Brauche
